공종,코드,명칭,규격,단위,CalRevitWall,재료비단가,노무비단가,경비단가,합계단가,RecCost1,RecCost2,산식2,산식3
철골공사,3DABG118,CT  형강,SS400-  CT-251*374*15*25mm,TN,,,,,,,,,
철골공사,3DABG119,CT  형강,SS400-  CT-298*199*10*15mm,TN,,,,,,,,,
철골공사,3DABG120,CT  형강,SS400-  CT-300*200*11*17mm,TN,,,,,,,,,
철골공사,3DABG121,CT  형강,SS400-  CT-303*201*12*20mm,TN,,,,,,,,,
철골공사,3DABG122,CT  형강,SS400-  CT-306*212*13*23mm,TN,,,,,,,,,
철골공사,3DABG123,CT  형강,SS400-  CT-291*300*12*17mm,TN,,,,,,,,,
철골공사,3DABG124,CT  형강,SS400-  CT-294*300*12*20mm,TN,,,,,,,,,
철골공사,3DABG125,CT  형강,SS400-  CT-297*302*14*23mm,TN,,,,,,,,,
철골공사,3DABG126,CT  형강,SS400-  CT-301*304*16*27mm,TN,,,,,,,,,
철골공사,3DABG127,CT  형강,SS400-  CT-346*300*13*20mm,TN,,,,,,,,,
철골공사,3DABG128,CT  형강,SS400-  CT-350*300*13*24mm,TN,,,,,,,,,
철골공사,3DABG129,CT  형강,SS400-  CT-354*302*15*28mm,TN,,,,,,,,,
철골공사,3DABG130,CT  형강,SS400-  CT-396*300*14*22mm,TN,,,,,,,,,
철골공사,3DABG131,CT  형강,SS400-  CT-400*300*14*26mm,TN,,,,,,,,,
철골공사,3DABG132,CT  형강,SS400-  CT-404*302*16*30mm,TN,,,,,,,,,
철골공사,3DABG133,CT  형강,SS400-  CT-445*299*15*23mm,TN,,,,,,,,,
철골공사,3DABG134,CT  형강,SS400-  CT-450*300*16*28mm,TN,,,,,,,,,
철골공사,3DABG135,CT  형강,SS400-  CT-456*302*18*34mm,TN,,,,,,,,,
철골공사,3DABG136,CT  형강,SS400-  CT-150*90*10*10mm,TN,,,,,,,,,
철골공사,3DABG137,CT  형강,SS400-  CT-300*120*12*12mm,TN,,,,,,,,,
철골공사,3DABG138,CT  형강,SS400-  CT-90*90*12*12mm,TN,,,,,,,,,
철골공사,3DABG139,CT  형강,SS400-  CT-200*120*8*12mm,TN,,,,,,,,,
철골공사,3DABG201,**CT  형강/0.3,SS400-  CT-50*100*6*8mm,MZ,,,,,,,,,
철골공사,3DABG202,**CT  형강/0.2,SS400-  CT-50*50*4*6mm,MZ,,,,,,,,,
철골공사,3DABG203,**CT  형강/0.2,SS400-  CT-50*50*5*7mm,MZ,,,,,,,,,
철골공사,3DABG204,**CT  형강/0.3,SS400-  CT-50*100*5*7mm,MZ,,,,,,,,,
철골공사,3DABG205,**CT  형강/0.245,SS400-  CT-62.5*60*4.5*6.5mm,MZ,,,,,,,,,
철골공사,3DABG206,**CT  형강/0.245,SS400-  CT-62.5*60*6*8mm,MZ,,,,,,,,,
철골공사,3DABG207,**CT  형강/0.375,SS400-  CT-62.5*125*5*7mm,MZ,,,,,,,,,
철골공사,3DABG208,**CT  형강/0.375,SS400-  CT-62.5*125*6.5*9mm,MZ,,,,,,,,,
철골공사,3DABG209,**CT  형강/0.296,SS400-  CT-74*74*5*8mm,MZ,,,,,,,,,
철골공사,3DABG210,**CT  형강/0.3,SS400-  CT-75*75*5*7mm,MZ,,,,,,,,,
철골공사,3DABG211,**CT  형강/0.3,SS400-  CT-75*75*6*9mm,MZ,,,,,,,,,
철골공사,3DABG212,**CT  형강/0.344,SS400-  CT-73*99*5*8mm,MZ,,,,,,,,,
철골공사,3DABG213,**CT  형강/0.348,SS400-  CT-74*100*6*9mm,MZ,,,,,,,,,
철골공사,3DABG214,**CT  형강/0.45,SS400-  CT-75*150*7*10mm,MZ,,,,,,,,,
철골공사,3DABG215,**CT  형강/0.354,SS400-  CT-76*101*7*11mm,MZ,,,,,,,,,
철골공사,3DABG216,**CT  형강/0.36,SS400-  CT-78*102*8*13mm,MZ,,,,,,,,,
철골공사,3DABG217,**CT  형강/0.456,SS400-  CT-77*151*8*12mm,MZ,,,,,,,,,
철골공사,3DABG218,**CT  형강/0.462,SS400-  CT-79*152*9*14mm,MZ,,,,,,,,,
철골공사,3DABG219,**CT  형강/0.351,SS400-  CT-86.5*89*5*8mm,MZ,,,,,,,,,
철골공사,3DABG220,**CT  형강/0.355,SS400-  CT-87.5*90*5*8mm,MZ,,,,,,,,,
철골공사,3DABG221,**CT  형강/0.355,SS400-  CT-87.5*90*6*9mm,MZ,,,,,,,,,
철골공사,3DABG222,**CT  형강/0.525,SS400-  CT-87.5*175*7.5*11mm,MZ,,,,,,,,,
철골공사,3DABG223,**CT  형강/0.415,SS400-  CT-83.5*124*4.5*7mm,MZ,,,,,,,,,
철골공사,3DABG224,**CT  형강/0.419,SS400-  CT-84.5*125*5.5*8mm,MZ,,,,,,,,,
철골공사,3DABG225,**CT  형강/0.425,SS400-  CT-86.5*126*6.5*10mm,MZ,,,,,,,,,
철골공사,3DABG226,**CT  형강/0.427,SS400-  CT-87.5*136*6.5*11mm,MZ,,,,,,,,,
철골공사,3DABG227,**CT  형강/0.519,SS400-  CT-85.5*174*6*9.3mm,MZ,,,,,,,,,
철골공사,3DABG228,**CT  형강/0.525,SS400-  CT-89.5*175*7.5*11mm,MZ,,,,,,,,,
철골공사,3DABG229,**CT  형강/0.537,SS400-  CT-91.5*177*9.5*15mm,MZ,,,,,,,,,
철골공사,3DABG230,**CT  형강/0.594,SS400-  CT-93*199*6.5*10mm,MZ,,,,,,,,,
철골공사,3DABG231,**CT  형강/0.49,SS400-  CT-96*149*5*8mm,MZ,,,,,,,,,
철골공사,3DABG232,**CT  형강/0.494,SS400-  CT-97*150*6*9mm,MZ,,,,,,,,,
철골공사,3DABG233,**CT  형강/0.5,SS400-  CT-99*151*7*11mm,MZ,,,,,,,,,
철골공사,3DABG234,**CT  형강/0.396,SS400-  CT-99*99*4.5*7mm,MZ,,,,,,,,,
철골공사,3DABG235,**CT  형강/0.4,SS400-  CT-100*100*5.5*8mm,MZ,,,,,,,,,
철골공사,3DABG236,**CT  형강/0.406,SS400-  CT-102*101*6.5*10mm,MZ,,,,,,,,,
